id,Latitude,Longitude
236,220256.36,143522.23
237,218695.67,140737.14
238,218726.03,140753.95
239,218688.08,140694.94
240,218570.42,143420.84
241,218608.98,143448.58
242,218255.5,143786.55
243,220204.27,142417.2
244,220281.22,142310.11
245,219753.11,142940.08
246,219157.36,145557.16
247,219516.06,145016.19
248,220172.28,144186.27
249,218624.84,140653.12
250,218633.7,140669.66
251,218786.39,140858.23
252,220402.73,144091.03
253,219890.69,144660.9
254,220338.72,144220.39
255,219229.05,143643.78
256,219003.6,143920.72
257,218890.47,144076.42
258,218092.06,144662.25
259,218417.44,143583.66
260,218004.47,144185.4
261,220219.78,143585.72
262,220102.16,143559.25
263,220436.66,143678.62
264,220694.72,143759.92
265,220768.2,143630.89
266,221397.4,142815.7
267,220988.38,142973.62
268,220746.66,142578.45
269,220885.34,142713.83
270,219597.73,144977.2
271,219664.33,144914.67
272,219873.19,144690.69
273,219509.27,143370.7
274,218996.2,143959.19
275,218996.73,143929.1
276,220010.03,144466.33
277,219855.31,144751.48
278,219372.02,145245.58
279,220153.44,143671.1
280,220348.36,143595.38
281,220497.86,143982.2
282,219562.14,144993.8
283,220266.64,144232.19
284,219851.72,144635.17
285,220324.8,144213.7
286,219328.28,145404.06
287,219826.98,144720.34
288,217832.02,144419.42
289,218191.0,144780.38
290,218047.88,144572.2
291,218417.73,143636.4
292,217857.89,144345.69
293,217945.61,144445.03
294,218802.31,144176.81
295,218804.73,144158.02
296,218615.06,144361.45
297,220429.1,144043.95
298,220016.86,144581.05
299,220341.5,144176.9
300,221182.47,143022.61
301,220802.69,143006.94
302,220651.94,142523.66
303,219866.4,144244.23
304,219654.45,143447.61
305,219727.34,143483.61
306,218814.12,144155.45
307,218765.84,144198.98
308,218412.33,144598.72
309,218210.67,144755.36
310,218167.23,144024.92
311,218069.98,143943.16
312,219533.5,143349.16
313,219979.84,144080.28
314,219842.39,144192.9
315,220242.55,143613.23
316,220314.88,143609.38
317,220162.6,143578.11
318,220985.88,143431.53
319,220707.31,143753.61
320,221014.3,143275.12
321,219736.42,141736.11
322,220095.8,141974.84
323,219952.6,141596.55
324,218693.5,140756.33
325,218761.14,140779.55
326,218729.8,140761.11
327,218602.17,143391.92
328,218428.47,143591.64
329,218239.02,144788.03
330,218508.9,143480.78
331,217940.98,144440.03
332,218762.1,143226.83
333,220675.77,143752.66
334,220615.83,143821.14
335,220553.25,143927.81
336,219775.81,142972.7
337,220155.5,142452.88
338,220128.45,142516.9
339,219858.6,144792.47
340,219873.36,144623.69
341,219596.47,144991.55
342,220034.25,141431.64
343,220191.17,142144.77
344,219819.58,141824.36
345,220308.45,144081.27
346,219574.34,144967.03
347,219657.25,144869.9
348,219659.38,141644.83
349,219209.34,141369.28
350,219511.53,141517.14
351,221039.56,142922.42
352,220547.56,142413.03
353,220226.97,142169.23
354,219384.05,141402.02
355,219251.72,141292.58
356,219080.23,141111.5
357,219132.7,141165.86
358,219587.53,141520.6
359,219710.83,141693.05
360,219023.56,143879.14
361,218884.47,144035.28
362,219061.58,143830.14
363,219051.97,143848.75
364,219028.83,143899.19
365,219200.06,143695.17
366,218492.62,144509.88
367,218610.97,144367.95
368,218575.06,144420.89
369,219490.75,145057.56
370,219158.42,145402.53
371,219589.83,144939.72
372,220080.58,141951.34
373,220223.55,142120.42
374,220148.81,141192.25
375,219568.22,143385.56
376,219967.34,144224.05
377,219813.03,143575.14
378,219729.81,143018.0
379,219657.86,143059.66
380,220055.73,142593.8
381,219497.34,141456.5
382,218968.03,141027.62
383,219567.23,141567.27
384,219407.05,145241.08
385,219674.33,144883.48
386,219498.84,145130.6
387,221081.0,143050.88
388,220731.61,143535.88
389,221014.33,142966.53
390,220391.16,144040.34
391,219729.89,144899.34
392,219661.9,144905.23
393,218548.28,144456.19
394,218581.39,144396.5
395,218908.77,144011.02
396,221493.39,142704.16
397,220799.55,143574.19
398,221560.61,142638.97
399,218267.45,144790.16
400,218833.95,145248.64
401,219003.72,145477.6
402,220738.14,143543.94
403,220889.62,143355.45
404,220775.25,143535.55
405,221164.6,143038.02
406,221005.34,143276.3
407,221226.64,143076.11
408,218479.8,145013.08
409,218552.06,145069.4
410,218521.83,145049.23
411,220311.73,142318.55
412,220304.89,142246.36
413,219809.66,142873.4
414,220264.33,143969.86
415,219942.19,143610.61
416,220400.44,143966.64
417,220652.27,142497.98
418,220925.4,142731.34
419,220127.88,142089.81
420,218948.6,143959.06
421,218987.22,143961.5
422,218951.66,143983.25
423,220159.25,142330.28
424,220408.2,142349.06
425,220988.8,143028.84
426,219821.17,141855.22
427,219846.92,141862.86
428,219955.47,141865.62
429,220240.98,144308.23
430,219845.86,144670.36
431,220029.2,144477.36
432,220022.17,144266.23
433,219898.75,144260.88
434,220128.47,143888.27
435,218786.08,140859.56
436,219286.33,141321.38
437,219080.9,141126.03
438,220275.45,144101.98
439,220447.88,143868.2
440,219985.19,143573.84
441,220305.39,142292.83
442,220261.23,142230.69
443,219929.61,141916.52
444,218562.75,144411.05
445,218696.06,144254.84
446,218508.97,144482.4
447,218538.14,144452.95
448,218807.92,144141.2
449,218485.77,144541.17
450,218594.86,144413.84
451,218516.05,144513.1
452,218458.39,144564.97
453,218963.1,145367.77
454,218512.34,145044.06
455,218487.33,144993.77
456,218193.38,144801.75
457,218492.0,143538.56
458,217988.11,144574.0
459,220338.39,143715.81
460,220503.8,143951.8
461,220197.44,143635.45
462,219808.75,141712.27
463,220009.38,141980.31
464,219876.77,141570.22
465,219379.19,141403.12
466,218878.52,140947.84
467,219070.94,141119.11
468,221113.67,143079.38
469,221327.44,142884.0
470,221419.22,142773.06
471,219730.62,144637.75
472,219870.81,144226.62
473,219984.94,143667.38
474,218784.42,145216.25
475,219309.47,145781.67
476,219371.03,145862.61
477,219102.12,145501.77
478,219832.5,144758.45
479,219944.27,144501.36
480,219853.03,141825.08
481,220078.0,142021.39
482,219824.9,141727.02
483,218759.38,145238.73
484,218931.61,145466.05
485,218960.8,145461.67
486,221009.88,143280.05
487,220619.03,143842.94
488,220584.16,143719.03
489,220135.4,143551.16
490,220480.48,143936.52
491,220559.55,143675.97
492,219833.84,144349.94
493,220225.73,144115.47
494,220006.95,143650.31
495,219162.3,145454.34
496,219806.11,144633.25
497,219922.14,144434.7
498,218574.89,144437.77
499,218921.86,144040.52
500,218728.48,144232.8
501,218894.03,144068.5
502,218781.06,144149.36
503,219293.03,143573.72
504,221453.98,142761.58
505,221556.16,142617.02
506,221133.78,143146.5
507,219217.81,145735.64
508,218146.27,144682.44
509,218857.84,145354.38
510,218213.25,143821.8
511,217819.45,144425.69
512,218450.97,143725.48
513,220540.42,142452.14
514,220957.17,142831.02
515,221036.3,142847.14
516,219826.08,144269.45
517,219563.61,143310.4
518,220179.88,143846.95
519,221190.8,143045.06
520,221129.72,143167.53
521,220879.16,143428.17
522,218915.56,140958.36
523,219712.1,141724.36
524,219502.52,141495.64
525,221626,135367
526,220960.61,143397.34
527,221444.7,142735.02
528,38336,258
529,38254,145
530,38312,226
531,218469.02,145016.06
532,218126.42,144731.56
533,218756.28,145059.83
534,218739.66,143224.64
535,218174.56,144719.08
536,218571.98,143444.03
537,218714.66,144225.36
538,218654.25,144270.1
539,218652.22,144311.9
540,219934.83,141913.31
541,219849.6,141713.08
542,219929.28,141919.19
543,220150.45,142468.44
544,219790.77,142872.3
545,220105.23,142555.1
546,221439.86,142767.88
547,221034.25,143228.48
548,221543.1,142650.05
549,220730.16,143654.6
550,221183.72,142977.52
551,221238.2,142976.48
552,218229.38,143785.56
553,218194.58,144812.55
554,218858.17,143175.39
555,220699.23,143633.48
556,221022.12,143259.11
557,220886.5,143364.69
558,218983.34,141037.03
559,218950.28,140950.4
560,219325.53,141346.92
561,220459.69,142383.02
562,221041.42,142904.72
563,220667.56,142515.52
564,221376.36,142856.72
565,221261.45,142999.27
566,221499.36,142694.66
567,219829.97,144407.88
568,220017.34,143751.06
569,219898.02,144266.89
570,219197.75,143706.1
571,219378.36,143491.05
572,219389.53,143432.9
573,220383.28,142294.44
574,220959.22,143014.89
575,219712.36,143225.27
576,220029.05,142637.36
577,219568.6,143203.52
578,220275.72,142213.86
579,218938.84,144001.81
580,219361.83,143566.06
581,218881.2,144031.61
582,220290.88,142193.28
583,219707.42,141726.22
584,219932.06,141564.56
585,219804.64,142882.27
586,220341.62,142328.38
587,219590.44,143237.73
588,220718.0,143641.88
589,220742.0,143622.39
590,220536.08,143795.42
591,220131.52,142503.84
592,219773.17,142961.47
593,219764.45,142966.98
594,218894.3,144050.27
595,219026.58,143904.98
596,219273.83,143597.48
597,219899.36,144575.83
598,219700.52,144781.45
599,219128.38,145430.12
600,218058.86,144638.28
601,217922.33,144125.14
602,218180.08,144706.28
603,220182.88,143561.3
604,220300.81,143958.73
605,220070.47,143566.28
606,218654.22,140704.8
607,218648.38,140660.4
608,218654.3,140755.72
609,217884.64,144451.86
610,217994.66,144524.25
611,218302.7,143718.44
612,219868.3,142785.48
613,220012.53,142614.98
614,219737.0,143016.4
615,220365.34,144065.44
616,219752.06,144817.27
617,220238.16,144167.81
618,218721.12,140775.84
619,218836.69,141253.12
620,218599.69,140639.47
621,219379.73,145299.81
622,220362.12,144025.16
623,219529.06,145067.64
624,219095.38,143775.81
625,219117.12,143748.45
626,218919.25,144038.55
627,219005.38,143197.0
628,218122.16,143930.8
629,218869.77,143142.97
630,220373.72,143624.62
631,220460.27,143982.31
632,220415.39,144054.8
633,221469.92,142727.72
634,220998.78,143387.64
635,220865.64,143497.77
636,220562.16,142465.23
637,220573.61,142522.83
638,220980.25,142784.05
639,219755.44,144819.86
640,220054.56,144517.05
641,219802.33,144664.11
642,219308.19,143559.58
643,218893.7,144062.38
644,218959.39,143995.23
645,219780.86,144767.86
646,220243.73,144353.06
647,219841.2,144712.5
648,220020.1,143625.2
649,220581.42,143772.5
650,220327.9,143575.11
651,219491.78,145006.14
652,219136.89,145534.94
653,219711.0,144780.8
654,219400.75,145254.28
655,219908.75,144665.05
656,219712.11,144850.78
657,217849.88,144411.73
658,218848.72,143182.53
659,218445.23,143575.53
660,218100.6,143994.03
661,217818.89,144391.72
662,218341.25,144908.39
663,218517.47,144475.4
664,218566.94,144419.3
665,218533.45,144450.44
666,220054.73,144514.89
667,220405.75,144122.34
668,219924.72,144759.44
669,220358.97,142260.61
670,220376.17,142305.22
671,220346.55,142285.64
672,220080.44,143749.19
673,219898.4,144368.27
674,219971.19,143598.72
675,218524.2,144454.23
676,218491.48,144516.27
677,218544.77,144455.45
678,218159.83,144724.5
679,218655.23,143340.75
680,218276.31,144906.8
681,220147.06,144254.77
682,219868.28,143560.45
683,220269.34,144113.88
684,220134.66,143590.42
685,220406.64,143714.58
686,220468.42,143898.88
687,221071.92,143190.53
688,221478.7,142718.84
689,220926.84,143320.78
690,220291.66,141222.67
691,220186.08,142135.84
692,219713.0,141530.67
693,218709.06,140741.6
694,218762.19,140806.25
695,218759.7,140794.81
696,218395.83,143609.14
697,218599.0,143360.61
698,218197.28,144830.58
699,217968.42,144252.92
700,217980.6,144098.42
701,217804.89,144378.69
702,220610.67,143811.52
703,220079.94,143746.86
704,220138.19,143761.58
705,219698.38,143074.55
706,219521.0,143204.53
707,219686.55,143073.02
708,219956.83,144485.25
709,219872.28,144722.94
710,219548.6,145057.02
711,219894.34,141670.62
712,219951.5,141858.39
713,219780.8,141839.34
714,219281.5,145278.19
715,219470.61,145090.83
716,219288.69,145254.05
717,219445.75,141439.69
718,219593.42,141570.03
719,219294.33,141329.77
720,220289.28,142328.22
721,221124.56,142989.19
722,221040.84,142904.44
723,219319.77,141337.81
724,219051.28,141074.92
725,219029.14,141084.16
726,219626.56,141615.14
727,219424.58,141442.11
728,219191.83,141218.08
729,219247.98,143654.34
730,219454.36,143386.98
731,219367.92,143531.39
732,219191.19,143719.48
733,219390.8,143504.73
734,218876.3,144059.34
735,218764.83,144208.39
736,218493.27,144522.34
737,218852.31,144088.52
